"Date","Transaction type","Order ID","Product Details","Total product charges","Total promotional rebates","Amazon fees","Other","Total (USD)"
"7/1/2021","Paid to Amazon | Seller repayment","---","---","0","0","0","22.81","22.81"
"6/30/2021","Order Payment","111-9526616-1865814","Vorelec MX-21 Two-Channel Headphone Mixe...","25.98","0","-7.37","0","18.61"
"6/30/2021","Order Payment","113-9618246-1149815","Vorelec MX-21 Two-Channel Headphone Mixe...","0","0","-3.77","0","-3.77"
"6/29/2021","Service Fees","---","Subscription Fee:","0","0","-39.99","0","-39.99"
"6/26/2021","Order Payment","114-4462546-2726660","Vorelec MX-21 Two-Channel Headphone Mixe...","25.98","0","-7.37","0","18.61"
"6/24/2021","Order Payment","111-7549864-0643409","Vorelec MX-21 Two-Channel Headphone Mixe...","25.98","0","-7.37","0","18.61"
"6/23/2021","Order Payment","113-0944297-1333825","Vorelec MX-21 Two-Channel Headphone Mixe...","25.98","0","-7.37","0","18.61"
"6/23/2021","Order Payment","113-4164656-1273024","Vorelec MX-21 Two-Channel Headphone Mixe...","25.98","-3.91","-7.37","3.91","18.61"
"6/21/2021","Order Payment","112-6370166-6161050","Vorelec MX-21 Two-Channel Headphone Mixe...","25.98","0","-7.37","0","18.61"
"6/20/2021","Order Payment","111-7442327-3878654","Vorelec MX-21 Two-Channel Headphone Mixe...","25.98","0","-7.37","0","18.61"
"6/20/2021","Order Payment","112-1693995-8313018","Vorelec MX-21 Two-Channel Headphone Mixe...","25.98","0","-7.37","0","18.61"
"6/19/2021","Service Fees","---","Inbound Transportation Charge","0","0","-4.05","0","-4.05"
"6/19/2021","Service Fees","---","Inbound Transportation Charge","0","0","-4.56","0","-4.56"
"6/18/2021","Order Payment","114-3593114-8720221","Vorelec MX-21 Two-Channel Headphone Mixe...","25.98","0","-7.37","0","18.61"
"6/18/2021","Order Payment","113-3768103-7187469","Vorelec MX-21 Two-Channel Headphone Mixe...","25.98","0","-7.37","0","18.61"
"6/18/2021","Order Payment","113-2469632-1409063","Vorelec MX-21 Two-Channel Headphone Mixe...","25.98","0","-14.52","7.15","18.61"
"6/18/2021","Service Fees","---","Cost of Advertising","0","0","-351.48","0","-351.48"
"6/17/2021","Order Payment","113-1985923-9207433","Vorelec MX-21 Two-Channel Headphone Mixe...","25.98","0","-7.37","0","18.61"
"6/17/2021","Order Payment","114-9968569-2149816","Vorelec MX-21 Two-Channel Headphone Mixe...","25.98","-7.15","-7.37","7.15","18.61"
"6/16/2021","Unavailable balance","---","Current Reserve Amount ","0","0","0","-139.11","-139.11"
"6/16/2021","Previous statement's unavailable balance","---","Previous Reserve Amount Balance ","0","0","0","139.11","139.11"
"6/16/2021","Order Payment","112-1881970-0473002","Vorelec MX-21 Two-Channel Headphone Mixe...","25.98","0","-7.37","0","18.61"
"6/16/2021","Order Payment","112-7629351-5112235","Vorelec MX-21 Two-Channel Headphone Mixe...","25.98","0","-7.37","0","18.61"
"6/14/2021","Order Payment","111-5472771-2153865","Vorelec MX-21 Two-Channel Headphone Mixe...","25.98","0","-7.37","0","18.61"
"6/11/2021","Order Payment","113-6723770-8457016","Vorelec MX-21 Two-Channel Headphone Mixe...","25.98","0","-7.37","0","18.61"
"6/10/2021","Order Payment","112-6282807-5914614","Vorelec MX-21 Two-Channel Headphone Mixe...","25.98","0","-7.37","0","18.61"
"6/9/2021","Refund","112-0014188-5094616","Vorelec MX-21 Two-Channel Headphone Mixe...","-25.98","3.91","3.12","-3.91","-22.86"
